epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1788.29,0.29602,1.21714,0.96461,0.27161,0.05556,0.12507,0.11366,0.45635,4.84781,1.14968,5.11012e-05,5.11012e-05,5.11012e-05
73,1814.15,0.29127,1.11694,0.97319,0.27193,0.05556,0.12372,0.11266,0.4556,4.85836,1.16373,4.93984e-05,4.93984e-05,4.93984e-05
74,1851.7,0.26763,1.19596,0.95394,0.27272,0.05556,0.12402,0.11297,0.46242,4.87913,1.16116,4.76956e-05,4.76956e-05,4.76956e-05
75,1888,0.26849,1.1067,0.95032,0.27443,0.05556,0.11419,0.09854,0.45632,4.8653,1.15347,4.59928e-05,4.59928e-05,4.59928e-05
76,1924.27,0.27548,1.12444,0.95584,0.27468,0.05556,0.10503,0.09029,0.45768,4.8755,1.14313,4.429e-05,4.429e-05,4.429e-05
77,2130.11,0.25766,1.09587,0.94655,0.274,0.05556,0.09085,0.07771,0.45855,4.86564,1.14621,4.25872e-05,4.25872e-05,4.25872e-05
78,2344.36,0.254,1.07541,0.94372,0.27322,0.05556,0.1163,0.10578,0.46713,4.83035,1.14363,4.08844e-05,4.08844e-05,4.08844e-05
79,2379.17,0.26621,1.11534,0.95918,0.27246,0.05556,0.12664,0.11508,0.46917,4.80747,1.14038,3.91816e-05,3.91816e-05,3.91816e-05
80,2417.39,0.26222,1.16572,0.95386,0.21785,0.05556,0.12556,0.10858,0.48606,4.82881,1.15276,3.74788e-05,3.74788e-05,3.74788e-05
81,2456.01,0.27678,1.11014,0.96224,0.21828,0.05556,0.1227,0.1057,0.48319,4.87904,1.14973,3.5776e-05,3.5776e-05,3.5776e-05
82,2493.71,0.28831,1.12324,0.96236,0.27432,0.05556,0.1227,0.1057,0.47258,4.88023,1.14246,3.40732e-05,3.40732e-05,3.40732e-05
83,2531.22,0.25874,1.05847,0.94756,0.21801,0.05556,0.12372,0.11227,0.47689,4.92628,1.144,3.23704e-05,3.23704e-05,3.23704e-05
84,2570.04,0.25942,1.05854,0.95155,0.21871,0.05556,0.12402,0.10609,0.47401,4.89151,1.14444,3.06676e-05,3.06676e-05,3.06676e-05
85,2606.59,0.27265,1.07359,0.95643,0.21909,0.05556,0.12437,0.11194,0.47655,4.85178,1.15204,2.89648e-05,2.89648e-05,2.89648e-05
86,2644.6,0.25287,1.03208,0.9479,0.27517,0.05556,0.12437,0.11194,0.48353,4.83212,1.15977,2.7262e-05,2.7262e-05,2.7262e-05
87,2680.57,0.25961,1.1161,0.94331,0.27462,0.05556,0.12586,0.11328,0.46569,4.79361,1.15464,2.55592e-05,2.55592e-05,2.55592e-05
88,2721.53,0.26982,1.12798,0.95179,0.27485,0.05556,0.12372,0.11227,0.48133,4.79485,1.14928,2.38564e-05,2.38564e-05,2.38564e-05
89,2760.24,0.25786,1.06952,0.95025,0.275,0.05556,0.12345,0.11203,0.4809,4.82363,1.14989,2.21536e-05,2.21536e-05,2.21536e-05
90,2798.5,0.26152,1.04038,0.93992,0.27328,0.05556,0.12479,0.11374,0.46903,4.84264,1.14393,2.04508e-05,2.04508e-05,2.04508e-05
91,2854.52,0.27921,1.51836,0.99152,0.27591,0.05556,0.12115,0.09867,0.51202,4.97986,1.18576,1.8748e-05,1.8748e-05,1.8748e-05
92,2897.11,0.27902,1.4663,1.00555,0.27596,0.05556,0.1167,0.08906,0.53113,5.06821,1.19668,1.70452e-05,1.70452e-05,1.70452e-05
93,2940.91,0.24625,1.34933,0.95259,0.18718,0.09535,0.11608,0.09397,0.53611,5.05754,1.20758,1.53424e-05,1.53424e-05,1.53424e-05
94,2979.29,0.23778,1.35804,0.94882,0.18763,0.09226,0.11608,0.09397,0.54989,5.0479,1.21085,1.36396e-05,1.36396e-05,1.36396e-05
95,3025.15,0.23795,1.4198,0.95775,0.18787,0.08893,0.11558,0.09502,0.56409,5.06075,1.22454,1.19368e-05,1.19368e-05,1.19368e-05
96,3071.56,0.23096,1.37263,0.9491,0.27544,0.05556,0.11516,0.0946,0.563,5.08711,1.22549,1.0234e-05,1.0234e-05,1.0234e-05
97,3115.25,0.2256,1.28492,0.93016,0.22049,0.05556,0.09776,0.08117,0.54976,5.11728,1.21713,8.5312e-06,8.5312e-06,8.5312e-06
98,3158.06,0.22135,1.21643,0.95362,0.22049,0.05556,0.09907,0.07903,0.55407,5.13873,1.21331,6.8284e-06,6.8284e-06,6.8284e-06
99,3201.63,0.23073,1.23668,0.91673,0.33141,0.05556,0.11481,0.0927,0.5428,5.14573,1.21032,5.1256e-06,5.1256e-06,5.1256e-06
100,3245.63,0.23188,1.2378,0.94307,0.33135,0.05556,0.11481,0.0927,0.53107,5.14184,1.20336,3.4228e-06,3.4228e-06,3.4228e-06
